seed,width,height,rl_success,rl_steps,rl_time,astar_success,astar_steps,astar_time
9159007,101,45,1,93,0.009604931,1,75,0.301306725
1312809,118,45,1,35,0.004339218,1,31,0.08226037
638560,96,113,1,133,0.021376848,0,9,0.080257893
7829366,90,86,1,52,0.009394169,0,20,0.145777941
3036682,111,112,1,159,0.036624432,0,22,1.526037216
6114846,78,83,1,81,0.014189243,1,57,0.20665288
3540599,79,66,1,66,0.009173632,0,14,0.332280159
1439664,91,43,1,39,0.004118204,1,39,0.121594906
2898307,93,60,1,9,0.001207352,1,9,0.002699137
3829235,81,60,1,98,0.013951778,0,60,0.754383326
3101407,102,92,1,54,0.01025629,1,44,0.229040623
6865824,57,44,1,15,0.001642942,1,13,0.005913496
4109437,119,75,1,47,0.006568909,1,45,0.098330259
6579987,53,74,1,6,0.000870228,1,6,0.000845432
4213102,43,100,1,18,0.002184153,1,18,0.010953665
7535827,74,125,0,39,0.005626917,0,6,0.027251244
919023,89,122,1,171,0.037456751,0,10,0.105569839
2026370,85,112,1,26,0.005383253,1,29,0.053133488
2725720,41,118,1,79,0.00846982,0,22,0.210686207
6706277,128,73,1,59,0.008610725,1,59,0.165451288
8183485,37,109,1,20,0.002399445,1,20,0.025363684
4403673,110,51,1,14,0.001950741,1,14,0.010677576
2924875,64,115,1,27,0.003957272,1,26,0.05392313
2882997,59,91,1,23,0.003337383,1,23,0.027665615
3051445,120,107,1,26,0.00586915,1,26,0.042499304
5147568,95,99,1,30,0.005352497,1,31,0.05754447
8035047,94,99,1,31,0.006147861,1,32,0.082603693
4129726,60,76,1,53,0.008270502,0,10,0.068060398
7921294,47,90,1,23,0.002924919,1,23,0.020904541
6924355,64,64,1,91,0.015526056,0,14,0.06144619
5219213,76,78,1,51,0.00924015,1,47,0.278134108
5831728,115,101,1,19,0.004564047,1,19,0.013682842
199773,67,66,1,17,0.00213623,1,18,0.014625072
104559,36,74,1,77,0.008535147,1,69,0.718700171
4326441,119,73,1,19,0.003014803,1,20,0.011443377
1069192,59,81,1,22,0.003154039,1,20,0.012302637
1228531,87,39,1,84,0.010128975,0,10,0.257482767
5044838,91,88,1,35,0.006061554,1,32,0.074912786
4973041,95,83,1,252,0.045260668,1,82,1.016921997
8709057,33,60,1,56,0.005782843,1,56,0.257259607
5801899,41,48,1,19,0.002499342,1,20,0.022068739
4754656,115,123,1,62,0.015014648,1,62,0.511688232
5313269,103,87,1,37,0.006456137,1,34,0.132364035
5759899,98,124,1,52,0.010141373,1,48,0.099051714
360987,72,127,1,22,0.002898693,1,22,0.034861326
6022282,81,67,1,44,0.005324841,1,41,0.1565063
6373712,43,100,1,27,0.003281593,1,23,0.020184755
6557692,92,124,0,300,0.044395447,0,41,1.180050611
8894952,96,82,1,5,0.000867128,1,5,0.00080204
6730964,86,53,1,55,0.007560492,1,49,0.147732496
6397425,99,58,1,54,0.008123636,0,9,0.052090406
5339923,116,42,1,191,0.02201128,1,73,0.145908356
7090366,45,98,1,83,0.009219408,1,92,1.76368618
719470,68,77,1,10,0.001680613,1,10,0.00375247
175095,97,107,1,188,0.038930893,0,19,1.441381216
2947552,118,66,1,13,0.00202632,1,13,0.008071899
6054235,106,62,1,13,0.001712322,1,11,0.004436016
2007682,105,101,0,5,0.001160383,0,4,0.003067017
6056424,33,76,1,7,0.000774145,1,7,0.00197649
6220579,92,125,1,45,0.009890079,1,45,0.271807432
2778396,59,127,1,62,0.007570028,1,58,0.346350908
8033207,118,125,0,300,0.06849885,0,73,0.356339216
