seed,width,height,rl_success,rl_steps,rl_time,astar_success,astar_steps,astar_time
1370424,82,98,0,49,0.00828433,0,11,0.067340612
4647659,58,96,0,60,0.009948254,0,28,0.237720013
49304,76,120,1,95,0.013154984,1,95,0.740317345
1525577,127,118,1,264,0.067759275,0,65,2.979870796
6287379,96,119,0,87,0.017318487,1,41,0.152498007
2117008,77,85,1,5,0.000769615,1,4,0.000478983
8523649,44,47,1,4,0.000523806,1,4,0.000516415
18376,91,69,1,91,0.012179375,0,17,0.093564272
4564772,107,67,1,36,0.00595665,1,37,0.133314371
6731239,86,93,1,117,0.019605875,1,76,0.537636042
7430019,64,49,1,28,0.00372386,1,30,0.054801464
4334906,90,81,1,64,0.011980057,0,3,0.039717436
3678886,53,45,1,29,0.003172398,1,25,0.029196739
6104906,108,108,0,13,0.003833294,0,8,0.394041538
7119246,40,107,1,13,0.001572132,1,13,0.004848003
3311904,72,88,1,15,0.002167702,1,15,0.007456064
5646904,55,100,1,27,0.003436327,1,27,0.051721573
9489979,126,80,1,47,0.008228779,0,7,0.021120071
7033410,107,38,1,25,0.002898932,1,18,0.011490107
2683419,119,61,1,47,0.005896807,0,4,0.059309006
3592978,100,84,1,19,0.003771067,1,19,0.016307592
3969609,49,70,1,43,0.006361485,0,47,0.177056313
7010358,107,89,1,23,0.003739119,1,22,0.034265995
5954039,87,71,1,39,0.005676985,0,30,0.077878475
5644897,123,66,1,26,0.003896952,1,26,0.02349782
7738278,89,79,1,27,0.005432367,0,17,0.046318054
6004131,125,111,1,52,0.012071371,0,5,0.018738508
966792,77,108,1,42,0.008167505,0,33,0.040274143
262299,71,65,1,29,0.00369978,1,28,0.052338362
8793443,97,104,1,43,0.00663805,1,41,0.119474888
4409556,49,109,1,86,0.012536764,1,86,1.309278727
7663031,128,36,1,120,0.013963699,0,76,0.384111166
8267546,87,119,1,26,0.004912615,1,26,0.045332432
3805061,119,95,1,51,0.007588148,0,38,0.16519928
4902628,55,100,1,36,0.004149914,0,9,0.077691078
67216,43,34,1,32,0.004180908,1,27,0.042391062
6924393,108,118,1,33,0.008479595,0,8,0.008060217
6594228,117,121,1,43,0.008827686,1,43,0.075715065
810298,94,112,1,84,0.017905235,0,54,0.590841293
868291,76,37,1,18,0.002040148,1,15,0.007141113
8286314,124,117,1,48,0.009735346,1,47,0.18948102
2669784,98,71,1,94,0.014830112,0,12,0.227363348
5301584,60,48,1,24,0.002910614,0,17,0.022173643
2213135,75,87,1,30,0.005730629,1,30,0.036698818
8769403,88,46,1,18,0.002302408,1,18,0.008054256
6786007,53,70,1,19,0.002381802,0,13,0.013667345
230121,56,56,1,41,0.005355358,0,26,0.057478905
3681708,44,34,1,25,0.002815962,1,25,0.033672333
3565393,103,95,1,45,0.00923872,0,25,0.229650021
2450510,71,76,1,31,0.005553246,0,16,0.076625824
2722805,109,36,1,30,0.003394842,1,23,0.023521185
7371044,55,69,1,23,0.002957821,1,21,0.01995635
8873996,99,72,1,122,0.018102169,0,1,0.010671854
1207037,127,78,1,61,0.009411335,0,20,0.184291363
9336191,48,93,1,19,0.00212431,1,17,0.009314775
3464334,100,35,1,63,0.007305861,1,63,0.575269222
2737934,38,70,1,30,0.003117323,1,30,0.043941259
193946,112,98,1,7,0.00144887,1,7,0.001760244
8128865,64,66,1,35,0.005054712,0,3,0.004217863
4244126,114,46,1,86,0.010551453,1,62,0.129364252
5156435,66,106,1,21,0.002653837,1,21,0.026802063
1000416,69,79,1,31,0.004809856,1,31,0.039992809
2004060,35,91,1,26,0.0030756,0,8,0.018123388
3198074,60,108,1,51,0.006498098,1,48,0.240246296
9947799,63,41,1,73,0.00818634,1,33,0.094414711
6328683,109,36,1,41,0.004647732,0,10,0.121813774
761999,116,59,1,67,0.007806301,1,63,0.312032223
3935300,65,97,0,51,0.008239985,0,44,0.315806627
3481586,70,84,0,66,0.009133816,0,26,0.176536083
9670868,32,109,1,5,0.000554562,1,5,0.000626326
1760477,51,66,1,62,0.008064032,1,49,0.262563705
1675893,44,68,0,3,0.000380993,1,7,0.001284599
1761235,114,41,1,103,0.014489412,1,101,1.578926563
2808576,53,77,1,48,0.006628275,1,48,0.167249918
3313641,99,74,1,79,0.013311863,1,53,0.421363592
7136181,51,48,1,68,0.00965333,1,29,0.069061279
2348617,109,54,1,58,0.008810759,1,49,0.17310977
7124308,74,68,1,26,0.004240274,1,23,0.026514292
5181003,86,59,0,0,0,0,0,0
4615978,50,86,0,30,0.004406691,1,35,0.114397764
9635447,117,49,1,32,0.004384995,0,14,0.042503834
1849924,36,33,1,27,0.003250599,1,21,0.018445492
3640581,69,118,1,51,0.009124517,0,37,0.145329475
9043385,42,79,1,16,0.001767635,1,15,0.006217241
363361,91,41,1,19,0.002797842,0,17,0.012939692
1148942,80,104,1,35,0.00649929,1,33,0.063257456
1165937,82,114,1,23,0.003343821,1,23,0.022500992
2635640,36,105,1,21,0.00225091,1,18,0.014915943
5117169,67,38,1,29,0.003320217,0,21,0.043536425
3786591,119,66,1,51,0.008872032,0,37,0.083396196
5952223,94,93,1,75,0.013722897,0,28,0.18234849
4250065,79,118,1,83,0.015484333,0,25,0.171856403
9282361,84,68,1,9,0.001338005,1,9,0.003484011
9253601,75,83,1,48,0.009352207,1,44,0.193665028
4565265,109,70,1,48,0.007539034,0,16,0.078671455
3598542,39,34,1,21,0.002755642,1,22,0.020329475
2838961,73,49,1,66,0.009025335,0,4,0.060280085
4306355,103,33,1,40,0.005104065,1,42,0.187990904
4541047,66,77,0,8,0.001165628,1,15,0.010756493
9122223,34,70,1,29,0.003459692,1,29,0.040596724
2908994,42,125,1,139,0.017547607,0,85,1.726401806
3336377,117,111,1,51,0.014667511,1,50,0.123367071
3233152,122,99,1,37,0.007752419,1,37,0.138165236
9014767,32,62,1,35,0.004556656,0,30,0.117895603
8054054,44,81,1,69,0.007327557,0,42,0.675320148
2482328,35,98,0,300,0.03060627,1,52,0.351543188
2240774,47,92,0,55,0.006281376,0,6,0.030614853
578417,110,90,1,43,0.006967783,1,43,0.225916386
2296511,61,61,1,71,0.010234356,1,60,0.176025391
8929621,96,117,1,110,0.024526834,0,80,2.371611834
919906,86,117,1,57,0.011331558,0,20,0.122377872
4832341,38,121,1,52,0.006327868,1,45,0.101723194
4381193,107,85,1,49,0.009207249,0,18,0.040767908
8714648,79,74,0,27,0.004424572,0,29,0.030433893
7307618,85,33,1,27,0.002717018,1,27,0.028304338
7819417,103,100,1,15,0.003465891,1,14,0.005872726
5837241,70,115,1,43,0.005573034,1,41,0.138170242
9868928,116,104,1,104,0.022037745,1,78,1.226666927
8801112,75,119,1,35,0.005568504,1,35,0.113012552
6959447,85,37,1,48,0.005820751,1,46,0.211955786
3190814,116,42,1,90,0.010676622,0,5,0.099611282
9323668,77,77,1,20,0.003488541,0,20,0.02038002
5931314,78,118,1,45,0.006238699,1,40,0.153307676
3280549,121,105,0,300,0.052251816,0,72,1.193724632
4793550,110,114,1,52,0.009688616,0,40,0.211171865
9953743,77,85,1,54,0.011045456,0,6,0.008404493
4919266,82,81,1,26,0.005065441,1,25,0.032247305
1932858,108,49,1,15,0.001980305,0,4,0.002763748
820553,62,72,1,8,0.001043797,1,8,0.001741886
1095062,115,34,1,11,0.001165867,1,11,0.004235506
587348,79,125,1,3,0.000442028,1,3,0.000294209
1859564,109,84,1,32,0.005803347,1,32,0.029667854
8287972,112,36,1,59,0.006028414,1,55,0.399410248
6692713,119,78,1,48,0.008464813,1,48,0.054701805
9564738,86,100,1,44,0.008116484,0,16,0.037147284
9383920,86,41,1,21,0.002504587,1,21,0.017505407
1288366,79,93,1,68,0.010941744,0,12,0.149600506
1707637,82,113,1,184,0.034184456,0,21,0.914874315
391525,103,37,1,5,0.000982761,1,5,0.000678062
7525585,116,102,1,28,0.006999969,0,23,0.027767658
2055727,76,34,1,17,0.001950979,1,17,0.009370565
9371551,71,66,1,36,0.004426241,0,17,0.017394781
4291287,99,114,1,66,0.014757156,0,5,0.021352053
5467088,112,95,1,38,0.006848812,1,38,0.087176561
2619642,93,113,1,242,0.037431002,0,19,0.461065769
5484958,128,52,1,44,0.005231619,0,13,0.083892107
2470480,88,123,1,126,0.021006107,0,31,0.473238707
2007768,58,33,1,52,0.005643845,1,44,0.200278759
4578638,83,109,1,206,0.039381027,0,11,0.38146925
4841292,98,107,1,81,0.018212557,0,57,0.728998899
8209834,54,82,1,26,0.003310442,1,26,0.029171705
1409614,109,56,1,35,0.004221201,1,37,0.123034239
7294503,67,44,1,37,0.004149199,0,8,0.01154995
1824930,98,45,1,43,0.005426645,0,24,0.19418931
2430251,112,102,1,39,0.009088039,1,33,0.075665236
1912319,45,34,1,48,0.005913496,1,40,0.09695816
5717366,99,126,1,46,0.009215593,1,44,0.097373009
8444611,55,38,1,12,0.001284599,1,12,0.005055904
2459332,99,36,1,68,0.008085012,1,68,0.460278511
8036115,94,107,1,241,0.044710875,0,2,0.042912245
6793996,90,116,1,156,0.024013758,1,77,0.200821638
5986409,64,87,0,25,0.00393033,0,27,0.028170347
3865202,124,94,1,14,0.01517415,1,14,0.009028912
9177364,122,43,1,30,0.003382921,1,30,0.046969414
753208,116,71,1,34,0.005413771,1,14,0.009263039
3805931,69,67,1,12,0.001657248,1,12,0.006531477
2839660,123,39,1,24,0.002753735,1,24,0.038312912
517130,49,57,1,66,0.007902861,0,6,0.063052177
9543526,98,41,1,84,0.010787725,0,47,1.390717983
8964710,82,78,0,0,9.54E-07,0,0,0
3029913,103,98,1,66,0.012420416,0,8,0.030628681
1354101,116,115,1,63,0.013813496,1,55,0.428740025
